Year,Country,Country Code,CO2 Emissions (kt) ,CO2 Emissions From Gaseous Fuel Consumption (kt) ,CO2 Emissions From Liquid Fuel Consumption (kt) ,CO2 Emissions From Solid Fuel Consumption (kt) ,GDP per Capita (current US$) ,Life Expectancy At Birth-Female (years) ,Life Expectancy At Birth-Male (years) ,Life Expectancy At Birth-Total (years) ,Methane Emissions (kt of CO2 equivalent) ,Nitrous Oxide Emissions (thousand metric tons of CO2 equivalent) ,Population-Female (% of total population) ,Population-Male (% of total population) ,Population-Total ,Total Greenhouse Gas Emissions (kt of CO2 equivalent) 
2009,GERMANY,DEU,734810.00,166577.14,259440.25,279557.41,41650.37,82.5,77.30,79.84,59100.00,44590.00,51.01,48.99,81902307.00,849690.00
2009,INDIA,IND,1564880.00,91245.96,454836.35,1088420.61,1101.96,67.231,65.32,66.24,617539.98,230500.00,47.97,52.03,1217726217.00,2423800.05
2009,INDONESIA,IDN,391079.99,64594.21,181410.16,173559.11,2261.25,70.905,66.87,68.85,273760.01,80630.00,49.65,50.35,238620554.00,747669.98
2009,JAPAN,JPN,1100979.98,184659.12,506068.00,387257.20,41309.00,86.44,79.59,82.93,30550.00,20270.00,51.07,48.93,128047000.00,1176709.96
2009,MOROCCO,MAR,48750.00,1210.11,30854.14,13179.20,2866.92,75.282,72.66,74.00,10380.00,7900.00,50.70,49.30,31929087.00,67350.00
2009,RUSSIAN FEDERATION,RUS,1546670.04,802519.28,358889.29,368599.51,8562.81,74.79,62.87,68.68,573750.00,54980.00,53.60,46.40,142785349.00,2191800.05
2009,SENEGAL,SEN,6670.00,33.00,2291.88,740.73,1308.94,65.088,62.02,63.61,9170.00,4650.00,51.29,48.71,12335092.00,21030.00
2009,UKRAINE,UKR,251620.00,93475.50,39493.59,122397.13,2639.39,74.86,63.79,69.19,36590.00,18650.00,53.82,46.18,46053331.00,307540.01
2009,UNITED KINGDOM,GBR,466489.99,178879.93,173878.14,111891.17,38952.21,82.1,78.10,80.05,67200.00,28480.00,50.91,49.09,62276270.00,578810.00
2009,UNITED STATES,USA,5156430.18,1227971.96,2152257.64,1842018.44,47194.94,80.9,76.00,78.39,610500.00,247170.00,50.62,49.38,306771529.00,6158399.90
2010,ARGENTINA,ARG,167220.00,86999.58,90219.20,3993.36,10385.96,78.646,71.84,75.28,115950.00,41470.00,51.34,48.66,40788453.00,339609.99
